ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
-2,1,-1,-3,-5,1.1091,1.1154,1.1051,1.1144,-0.006856024,-0.001355503,0.0048692516,0.0010758472,-0.00796308,-0.009821429,-0.006856024,-0.001355503,0.0081915564,Hold,2019W33
-2,1,-1,-3,-5,1.1203,1.1231,1.1066,1.109,-0.00177762,-0.003332433,-0.009821429,-0.006856024,-0.001355503,0.0081915564,-0.00177762,-0.003332433,-0.001617687,Sell,2019W32
-2,1,-1,-3,-5,1.1103,1.1251,1.1103,1.12,0.0077929058,0.0068921738,0.0081915564,-0.00177762,-0.003332433,-0.001617687,0.0077929058,0.0068921738,-0.008465514,Buy,2019W31
-2,1,-1,-3,-5,1.1128,1.1164,1.1027,1.1109,-0.005611472,-0.00675554,-0.001617687,0.0077929058,0.0068921738,-0.008465514,-0.005611472,-0.00675554,-0.00434744,Sell,2019W30
-4,-1,-3,-4,-12,1.1218,1.1227,1.1102,1.1127,-0.005227716,-0.00875,-0.008465514,-0.005611472,-0.00675554,-0.00434744,-0.005227716,-0.00875,0.0040085516,Sell,2019W29
-4,-1,-3,-4,-12,1.1269,1.1286,1.12,1.1222,-0.000088598,0.0005360014,-0.00434744,-0.005227716,-0.00875,0.0040085516,-0.000088598,0.0005360014,-0.012664908,Sell,2019W28
-4,-1,-3,-4,-12,1.1223,1.1287,1.1194,1.1271,-0.007823488,-0.001159989,0.0040085516,-0.000088598,0.0005360014,-0.012664908,-0.007823488,-0.001159989,0.0001759324,Hold,2019W27
-4,-1,-3,-4,-12,1.1376,1.1376,1.1207,1.1226,-0.003329245,-0.012076869,-0.012664908,-0.007823488,-0.001159989,0.0001759324,-0.003329245,-0.012076869,0.0141850299,Sell,2019W26
-4,-2,-4,-4,-14,1.1361,1.1414,1.1344,1.137,0.0030758415,0.0145783025,0.0001759324,-0.003329245,-0.012076869,0.0141850299,0.0030758415,0.0145783025,-0.010941498,Buy,2019W25
-4,-2,-4,-4,-14,1.1216,1.1379,1.1181,1.1368,0.0029969149,-0.001874665,0.0141850299,0.0030758415,0.0145783025,-0.010941498,0.0029969149,-0.001874665,0.014683499,Hold,2019W24
-4,-2,-4,-4,-14,1.1324,1.1345,1.1202,1.1209,-0.000352454,0.0041233417,-0.010941498,0.0029969149,-0.001874665,0.014683499,-0.000352454,0.0041233417,-0.003123884,Sell,2019W23
-4,-2,-4,-4,-14,1.1169,1.1349,1.1156,1.1333,0.0117678524,0.0035984167,0.014683499,-0.000352454,0.0041233417,-0.003123884,0.0117678524,0.0035984167,0.0041226026,Buy,2019W22
