ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
-4,-2,-2,-3,-11,1.0454,1.0654,1.0372,1.0516,0.0145700409,0.0018352168,0.0057383321,-0.002815844,-0.002892403,0.0004784231,0.0145700409,0.0018352168,-0.010509373,Buy,2016W52
-4,-2,-2,-3,-11,1.0445,1.0501,1.0353,1.0456,-0.016115431,-0.001446759,0.0004784231,0.0145700409,0.0018352168,-0.010509373,-0.016115431,-0.001446759,-0.010400075,Hold,2016W51
-4,-2,-2,-3,-11,1.0554,1.0673,1.0368,1.0451,-0.018574713,-0.013135351,-0.010509373,-0.016115431,-0.001446759,-0.010400075,-0.018574713,-0.013135351,0.0081231699,Sell,2016W50
-4,-2,-2,-3,-11,1.0675,1.0875,1.0506,1.0562,0.0171156004,-0.004548039,-0.010400075,-0.018574713,-0.013135351,0.0081231699,0.0171156004,-0.004548039,-0.000094447,Hold,2016W49
-4,-2,-2,-3,-11,1.0596,1.0692,1.0554,1.0673,0.0029077948,0.0034227039,0.0081231699,0.0171156004,-0.004548039,-0.000094447,0.0029077948,0.0034227039,-0.024686809,Buy,2016W48
-2,0,1,-6,-7,1.0584,1.0661,1.0518,1.0587,-0.017600442,-0.004919584,-0.000094447,0.0029077948,0.0034227039,-0.024686809,-0.017600442,-0.004919584,-0.025318729,Sell,2016W47
-2,0,1,-6,-7,1.085,1.0852,1.057,1.0588,-0.040070765,-0.02427767,-0.024686809,-0.017600442,-0.004919584,-0.025318729,-0.040070765,-0.02427767,0.0137435151,Sell,2016W46
-2,0,1,-6,-7,1.114,1.1305,1.0833,1.0856,0.0142652072,-0.009509006,-0.025318729,-0.040070765,-0.02427767,0.0137435151,0.0142652072,-0.009509006,0.0094634326,Hold,2016W45
-2,0,1,-6,-7,1.0987,1.1146,1.0937,1.1138,0.0137335152,0.0078326576,0.0137435151,0.0142652072,-0.009509006,0.0094634326,0.0137335152,0.0078326576,-0.007929997,Buy,2016W44
-2,-3,-1,-2,-8,1.088,1.0995,1.0852,1.0987,-0.004166289,-0.000644627,0.0094634326,0.0137335152,0.0078326576,-0.007929997,-0.004166289,-0.000644627,-0.020533881,Hold,2016W43
-2,-3,-1,-2,-8,1.0974,1.1041,1.0859,1.0884,-0.014460412,-0.009938001,-0.007929997,-0.004166289,-0.000644627,-0.020533881,-0.014460412,-0.009938001,-0.003558402,Sell,2016W42
-2,-3,-1,-2,-8,1.1197,1.1203,1.0968,1.0971,-0.003734993,-0.012158876,-0.020533881,-0.014460412,-0.009938001,-0.003558402,-0.003734993,-0.012158876,0.0013361839,Sell,2016W41
-2,-3,-1,-2,-8,1.1235,1.1245,1.1103,1.1201,-0.003191206,-0.004483099,-0.003558402,-0.003734993,-0.012158876,0.0013361839,-0.003191206,-0.004483099,0.0063648588,Sell,2016W40
-1,3,0,-3,-1,1.1224,1.1281,1.1153,1.1241,0.0017760412,0.0026971141,0.0013361839,-0.003191206,-0.004483099,0.0063648588,0.0017760412,0.0026971141,-0.006943826,Buy,2016W39
-1,3,0,-3,-1,1.1164,1.1261,1.1123,1.1226,-0.002126717,-0.002153046,0.0063648588,0.0017760412,0.0026971141,-0.006943826,-0.002126717,-0.002153046,0.0069021155,Hold,2016W38
-1,3,0,-3,-1,1.1232,1.1285,1.1147,1.1155,-0.003883838,0.0006283662,-0.006943826,-0.002126717,-0.002153046,0.0069021155,-0.003883838,0.0006283662,-0.00375067,Sell,2016W37
-1,3,0,-3,-1,1.1153,1.1329,1.114,1.1233,0.0066642971,0.0014383315,0.0069021155,-0.003883838,0.0006283662,-0.00375067,0.0066642971,0.0014383315,-0.01130143,Buy,2016W36
-1,3,0,-3,-1,1.1194,1.1254,1.1124,1.1156,-0.009069296,-0.005008945,-0.00375067,0.0066642971,0.0014383315,-0.01130143,-0.009069296,-0.005008945,0.0147836215,Sell,2016W35
-4,-1,-3,-4,-12,1.1305,1.1357,1.118,1.1198,-0.000791835,0.0024208733,-0.01130143,-0.009069296,-0.005008945,0.0147836215,-0.000791835,0.0024208733,0.0068561119,Sell,2016W34
-4,-1,-3,-4,-12,1.1162,1.1366,1.1153,1.1326,0.0126514612,0.0074977416,0.0147836215,-0.000791835,0.0024208733,0.0068561119,0.0126514612,0.0074977416,-0.007964919,Buy,2016W33
-4,-1,-3,-4,-12,1.1088,1.1224,1.107,1.1161,-0.000890155,0.0024449878,0.0068561119,0.0126514612,0.0074977416,-0.007964919,-0.000890155,0.0024449878,0.0180393586,Buy,2016W32
